Id;Code;Name
390;2275;Gierle
391;2275;Lille
392;2275;Poederlee
393;2275;Wechelderzande
394;2280;Grobbendonk
395;2288;Bouwel
396;2290;Vorselaar
397;2300;Turnhout
398;2310;Rijkevorsel
399;2320;Hoogstraten
400;2321;Meer
401;2322;Minderhout
402;2323;Wortel
403;2328;Meerle
404;2330;Merksplas
405;2340;Beerse
406;2340;Vlimmeren
407;2350;Vosselaar
408;2360;Oud-Turnhout
409;2370;Arendonk
410;2380;Ravels
411;2381;Weelde
412;2382;Poppel
413;2387;Baarle-Hertog
414;2390;Malle
415;2390;Oostmalle
416;2390;Westmalle
417;2400;Mol
418;2430;Eindhout
419;2430;Laakdal
420;2430;Vorst (Kempen)
421;2431;Varendonk
422;2431;Veerle
423;2440;Geel
424;2450;Meerhout
425;2460;Kasterlee
426;2460;Lichtaart
427;2460;Tielen
428;2470;Retie
429;2480;Dessel
430;2490;Balen
431;2491;Olmen
432;2500;Koningshooikt
433;2500;Lier
434;2520;Broechem
435;2520;Emblem
436;2520;Oelegem
437;2520;Ranst
438;2530;Boechout
439;2531;Vremde
440;2540;Hove
441;2547;Lint
442;2550;Kontich
443;2550;Waarloos
444;2560;Bevel
445;2560;Kessel
446;2560;Nijlen
447;2570;Duffel
448;2580;Beerzel
449;2580;Putte
450;2590;Berlaar
451;2590;Gestel
452;2600;Berchem (Antwerpen)
453;2610;Wilrijk (Antwerpen)
454;2620;Hemiksem
455;2627;Schelle
456;2630;Aartselaar
457;2640;Mortsel
458;2650;Edegem
459;2660;Hoboken (Antwerpen)
460;2800;Mechelen
461;2800;Walem
462;2801;Heffen
463;2811;Hombeek
464;2811;Leest
465;2812;Muizen (Mechelen)
466;2820;Bonheiden
467;2820;Rijmenam
468;2830;Blaasveld
469;2830;Heindonk
470;2830;Tisselt
471;2830;Willebroek
472;2840;Reet
473;2840;Rumst
474;2840;Terhagen
475;2845;Niel
476;2850;Boom
477;2860;Sint-Katelijne-Waver
478;2861;Onze-Lieve-Vrouw-Waver
479;2870;Breendonk
480;2870;Liezele
481;2870;Puurs
482;2870;Ruisbroek (Antw.)
483;2880;Bornem
484;2880;Hingene
485;2880;Mariekerke (Bornem)
486;2880;Weert
487;2890;Lippelo
488;2890;Oppuurs
489;2890;Sint-Amands
490;2900;Schoten
491;2910;Essen
492;2920;Kalmthout
493;2930;Brasschaat
494;2940;Hoevenen
495;2940;Stabroek
496;2950;Kapellen (Antw.)
497;2960;Brecht
498;2960;Sint-Job-in-'t-Goor
499;2960;Sint-Lenaarts
500;2970;'s Gravenwezel
501;2970;Schilde
502;2980;Halle (Kempen)
503;2980;Zoersel
504;2990;Loenhout
505;2990;Wuustwezel
506;3000;Leuven
507;3001;Heverlee
508;3010;Kessel-Lo (Leuven)
509;3012;Wilsele
510;3018;Wijgmaal (Brabant)
511;3020;Herent
512;3020;Veltem-Beisem
513;3020;Winksele
514;3040;Huldenberg
515;3040;Loonbeek
516;3040;Neerijse
517;3040;Ottenburg
518;3040;Sint-Agatha-Rode
519;3050;Oud-Heverlee
520;3051;Sint-Joris-Weert
521;3052;Blanden
522;3053;Haasrode
523;3054;Vaalbeek
524;3060;Bertem
525;3060;Korbeek-Dijle
526;3061;Leefdaal
527;3070;Kortenberg
528;3071;Erps-Kwerps
529;3078;Everberg
530;3078;Meerbeek
531;3080;Duisburg
532;3080;Tervuren
533;3080;Vossem
534;3090;Overijse
535;3110;Rotselaar
536;3111;Wezemaal
537;3118;Werchter
538;3120;Tremelo
539;3128;Baal
540;3130;Begijnendijk
541;3130;Betekom
542;3140;Keerbergen
543;3150;Haacht
544;3150;Tildonk
545;3150;Wespelaar
546;3190;Boortmeerbeek
547;3191;Hever
548;3200;Aarschot
549;3200;Gelrode
550;3201;Langdorp
551;3202;Rillaar
552;3210;Linden
553;3210;Lubbeek
554;3211;Binkom
555;3212;Pellenberg
556;3220;Holsbeek
557;3220;Kortrijk-Dutsel
558;3220;Sint-Pieters-Rode
559;3221;Nieuwrode
560;3270;Scherpenheuvel
561;3270;Scherpenheuvel-Zichem
562;3271;Averbode
563;3271;Zichem
564;3272;Messelbroek
565;3272;Testelt
566;3290;Deurne (Bt.)
567;3290;Diest
568;3290;Schaffen
569;3290;Webbekom
570;3293;Kaggevinne
571;3294;Molenstede
572;3300;Bost
573;3300;Goetsenhoven
574;3300;Hakendover
575;3300;Kumtich
576;3300;Oorbeek
577;3300;Oplinter
578;3300;Sint-Margriete-Houtem (Tienen)
579;3300;Tienen
580;3300;Vissenaken
581;3320;Hoegaarden
582;3320;Meldert (Bt.)
583;3321;Outgaarden
584;3350;Drieslinter
585;3350;Linter
586;3350;Melkwezer
587;3350;Neerhespen
588;3350;Neerlinter
589;3350;Orsmaal-Gussenhoven
590;3350;Overhespen
591;3350;Wommersom
592;3360;Bierbeek
593;3360;Korbeek-Lo
594;3360;Lovenjoel
595;3360;Opvelp
596;3370;Boutersem
597;3370;Kerkom
598;3370;Neervelp
599;3370;Roosbeek
600;3370;Vertrijk
601;3370;Willebringen
602;3380;Bunsbeek
603;3380;Glabbeek-Zuurbemde
604;3381;Kapellen (Bt.)
605;3384;Attenrode
606;3390;Houwaart
607;3390;Sint-Joris-Winge
608;3390;Tielt (Bt.)
609;3390;Tielt-Winge
610;3391;Meensel-Kiezegem
611;3400;Eliksem
612;3400;Ezemaal
613;3400;Laar
614;3400;Landen
615;3400;Neerwinden
616;3400;Overwinden
617;3400;Rumsdorp
618;3400;Wange
619;3401;Waasmont
620;3401;Walsbets
621;3401;Walshoutem
622;3401;Wezeren
623;3404;Attenhoven
624;3404;Neerlanden
625;3440;Budingen
626;3440;Dormaal
627;3440;Halle-Booienhoven
628;3440;Helen-Bos
629;3440;Zoutleeuw
630;3450;Geetbets
631;3450;Grazen
632;3454;Rummen
633;3460;Assent
634;3460;Bekkevoort
635;3461;Molenbeek-Wersbeek
636;3470;Kortenaken
637;3470;Ransberg
638;3471;Hoeleden
639;3472;Kersbeek-Miskom
640;3473;Waanrode
641;3500;Hasselt
642;3500;Sint-Lambrechts-Herk
643;3501;Wimmertingen
644;3510;Kermt (Hasselt)
645;3510;Spalbeek
646;3511;Kuringen
647;3511;Stokrooie
648;3512;Stevoort
